Tempo (s),Amostra,PWM,Temperatura (°C)
560.95,474,97,50.20
562.11,475,97,50.20
563.29,476,94,51.17
564.46,477,96,50.68
565.63,478,94,51.17
566.82,479,96,50.68
568.00,480,97,50.20
569.17,481,95,50.68
570.34,482,95,50.68
571.52,483,95,50.68
572.69,484,94,51.17
573.87,485,95,50.68
575.06,486,98,49.71
576.24,487,97,50.20
577.41,488,99,49.22
578.60,489,97,50.20
579.77,490,98,49.71
580.94,491,95,50.68
582.12,492,95,50.68
583.30,493,97,50.20
584.47,494,94,51.17
585.65,495,97,50.20
586.82,496,97,50.20
588.00,497,97,50.20
589.19,498,98,49.71
590.38,499,95,50.68
591.55,500,97,50.20
592.72,501,94,51.17
593.90,502,96,50.20
595.07,503,95,50.68
596.24,504,96,50.20
597.43,505,95,50.68
598.62,506,96,50.20
599.79,507,98,49.71
600.96,508,95,50.68
602.14,509,92,51.66
603.33,510,98,49.71
604.50,511,94,51.17
605.68,512,96,50.20
606.87,513,95,50.68
608.04,514,96,50.20
609.20,515,93,51.17
610.39,516,93,51.17
611.58,517,92,51.66
612.76,518,95,50.68
613.93,519,97,49.71
615.12,520,95,50.68
616.34,521,95,50.68
617.73,522,96,50.20
618.91,523,94,50.68
620.08,524,97,49.71
621.26,525,92,51.66
622.45,526,96,50.20
623.63,527,94,50.68
624.82,528,97,49.71
626.01,529,94,50.68
627.18,530,94,50.68
628.37,531,94,50.68
629.54,532,96,50.20
630.72,533,97,49.71
631.91,534,94,50.68
633.08,535,94,50.68
634.25,536,96,50.20
635.44,537,96,50.20
636.62,538,91,51.66
637.79,539,93,51.17
638.96,540,95,50.20
640.13,541,94,50.68
641.30,542,94,50.68
642.49,543,94,50.68
643.66,544,93,51.17
644.84,545,94,50.68
646.02,546,94,50.68
647.20,547,94,50.68
648.38,548,94,50.68
649.57,549,94,50.68
650.75,550,91,51.66
651.92,551,94,50.68
653.09,552,95,50.20
654.26,553,94,50.68
655.46,554,92,51.17
656.64,555,95,50.20
657.82,556,93,50.68
659.00,557,93,50.68
660.21,558,92,51.17
661.38,559,92,51.17
662.58,560,95,50.20
663.75,561,93,50.68
664.93,562,96,49.71
666.11,563,93,50.68
667.28,564,93,50.68
668.47,565,95,50.20
669.65,566,92,51.17
670.83,567,93,50.68
672.00,568,92,51.17
673.18,569,93,50.68
674.37,570,93,50.68
675.55,571,93,50.68
676.72,572,92,51.17
677.92,573,90,51.66
679.10,574,93,50.68
680.29,575,94,50.20
681.47,576,94,50.20
682.65,577,93,50.68
683.83,578,95,49.71
685.01,579,93,50.68
686.20,580,93,50.68
687.39,581,94,50.20
688.58,582,90,51.66
689.76,583,93,50.68
690.94,584,93,50.68
692.12,585,94,50.20
693.29,586,92,50.68
694.47,587,95,49.71
695.65,588,94,50.20
696.84,589,95,49.71
698.02,590,94,50.20
699.20,591,95,49.71
700.38,592,95,49.71
701.57,593,95,49.71
702.74,594,94,50.20
703.93,595,92,50.68
705.15,596,92,50.68
706.33,597,91,51.17
707.52,598,94,50.20
708.69,599,95,49.71
709.87,600,94,50.20
711.05,601,94,50.20
712.22,602,92,50.68
713.41,603,92,50.68
714.59,604,92,50.68
715.77,605,92,50.68
716.96,606,91,51.17
718.12,607,93,50.20
719.30,608,92,50.68
720.49,609,93,50.20
721.68,610,92,50.68
722.84,611,92,50.68
724.03,612,93,50.20
725.21,613,95,49.71
726.40,614,93,50.20
727.59,615,95,49.71
728.76,616,92,50.68
729.94,617,95,49.71
731.12,618,93,50.20
732.32,619,93,50.20
733.50,620,95,49.71
734.67,621,93,50.20
735.85,622,91,51.17
737.03,623,93,50.20
738.21,624,92,50.68
739.39,625,91,51.17
740.59,626,92,50.68
741.77,627,90,51.17
742.97,628,93,50.20
744.15,629,93,50.20
745.34,630,92,50.68
746.52,631,93,50.20
747.69,632,94,49.71
748.86,633,94,49.71
750.03,634,93,50.20
751.21,635,90,51.17
752.39,636,90,51.17
753.58,637,90,51.17
754.76,638,92,50.68
755.94,639,91,50.68
757.13,640,93,50.20
758.31,641,93,50.20
759.49,642,91,50.68
760.66,643,93,50.20
761.84,644,94,49.71
763.02,645,91,50.68
764.20,646,93,50.20
765.38,647,94,49.71
766.56,648,93,50.20
767.75,649,91,50.68
768.94,650,93,50.20
770.13,651,93,50.20
771.32,652,94,49.71
772.51,653,93,50.20
773.69,654,93,50.20
774.87,655,91,50.68
776.05,656,91,50.68
777.24,657,91,50.68
778.42,658,93,50.20
779.61,659,94,49.71
780.79,660,91,50.68
781.97,661,93,50.20
783.17,662,93,50.20
784.35,663,92,50.20
785.54,664,92,50.20
786.72,665,94,49.71
787.90,666,92,50.20
789.08,667,92,50.20
790.27,668,92,50.20
791.46,669,92,50.20
792.64,670,90,51.17
793.82,671,91,50.68
795.00,672,92,50.20
796.20,673,91,50.68
797.40,674,91,50.68
798.58,675,91,50.68
799.76,676,91,50.68
800.95,677,91,50.68
802.13,678,91,50.68
803.32,679,92,50.20
804.52,680,92,50.20
805.70,681,91,50.68
806.89,682,92,50.20
808.07,683,92,50.20
809.27,684,92,50.20
810.45,685,91,50.68
811.64,686,91,50.68
812.83,687,91,50.68
814.01,688,91,50.68
815.19,689,91,50.68
816.38,690,91,50.68
817.56,691,91,50.68
818.77,692,90,50.68
819.96,693,92,50.20
821.13,694,90,50.68
822.30,695,90,50.68
823.49,696,89,51.17
824.66,697,89,51.17
825.83,698,92,50.20
826.99,699,92,50.20
828.16,700,94,49.22
829.32,701,90,50.68
830.49,702,92,50.20
831.65,703,93,49.71
832.82,704,92,50.20
834.01,705,90,50.68
835.18,706,92,50.20
836.35,707,90,50.68
837.53,708,90,50.68
838.73,709,89,51.17
839.89,710,90,50.68
841.06,711,90,50.68
842.23,712,90,50.68
843.39,713,90,50.68
844.57,714,90,50.68
845.74,715,91,50.20
846.91,716,94,49.22
848.08,717,91,50.20
849.24,718,91,50.20
850.41,719,91,50.20
851.58,720,93,49.71
852.76,721,93,49.71
853.94,722,93,49.71
855.17,723,93,49.71
856.34,724,93,49.71
857.54,725,90,50.68
858.72,726,93,49.71
859.88,727,90,50.68
861.05,728,90,50.68
862.21,729,93,49.71
863.39,730,91,50.20
864.55,731,94,49.22
865.72,732,90,50.68
866.89,733,91,50.20
868.06,734,90,50.68
869.26,735,91,50.20
870.44,736,90,50.68
871.60,737,90,50.68
872.77,738,87,51.66
873.93,739,91,50.20
875.10,740,90,50.68
876.28,741,90,50.68
877.47,742,90,50.68
878.64,743,91,50.20
879.81,744,91,50.20
880.97,745,91,50.20
882.14,746,90,50.68
883.30,747,89,50.68
884.50,748,89,50.68
885.67,749,88,51.17
886.83,750,89,50.68
887.99,751,91,50.20
889.16,752,91,50.20
890.33,753,91,50.20
891.51,754,91,50.20
892.69,755,91,50.20
893.86,756,92,49.71
895.03,757,91,50.20
896.22,758,89,50.68
897.40,759,89,50.68
898.57,760,89,50.68
899.74,761,89,50.68
900.94,762,89,50.68
902.12,763,92,49.71
903.32,764,89,50.68
904.53,765,89,50.68
905.78,766,89,50.68
906.97,767,92,49.71
908.16,768,90,50.20
909.37,769,92,49.71
910.67,770,88,51.17
911.87,771,93,49.22
913.08,772,89,50.68
914.28,773,89,50.68
915.46,774,89,50.68
916.68,775,89,50.68
917.88,776,89,50.68
919.09,777,88,51.17
920.27,778,87,51.17
921.50,779,91,49.71
922.70,780,91,49.71
923.90,781,89,50.68
925.11,782,87,51.17
926.34,783,90,50.20
927.56,784,91,49.71
928.78,785,90,50.20
929.99,786,90,50.20
931.20,787,90,50.20
932.43,788,90,50.20
933.63,789,87,51.17
934.85,790,90,50.20
936.04,791,90,50.20
937.23,792,90,50.20
938.44,793,90,50.20
939.66,794,91,49.71
940.84,795,89,50.68
942.05,796,87,51.17
943.25,797,90,50.20
944.46,798,90,50.20
945.66,799,92,49.22
946.88,800,87,51.17
948.12,801,88,50.68
949.34,802,87,51.17
950.54,803,91,49.71
951.76,804,90,50.20
952.97,805,90,50.20
954.17,806,88,50.68
955.37,807,90,50.20
956.58,808,90,50.20
957.80,809,90,50.20
959.03,810,90,50.20
960.26,811,87,51.17
961.46,812,90,50.20
962.70,813,90,50.20
963.93,814,88,50.68
965.16,815,89,50.20
966.37,816,88,50.68
967.58,817,88,50.68
968.80,818,88,50.68
970.06,819,89,50.20
971.25,820,89,50.20
972.47,821,91,49.71
973.69,822,89,50.20
974.92,823,88,50.68
976.12,824,88,50.68
977.31,825,89,50.20
978.55,826,88,50.68
979.76,827,88,50.68
980.99,828,89,50.20
982.20,829,91,49.71
983.40,830,88,50.68
984.62,831,88,50.68
985.87,832,91,49.71
987.07,833,88,50.68
988.40,834,89,50.20
989.62,835,88,50.68
990.83,836,88,50.68
992.06,837,86,51.17
993.30,838,89,50.20
994.49,839,90,49.71
995.68,840,86,51.17
996.89,841,89,50.20
998.07,842,88,50.68
999.28,843,90,49.71
1000.49,844,90,49.71
1001.71,845,89,50.20
1002.92,846,90,49.71
1004.13,847,90,49.71
1005.34,848,88,50.68
1006.55,849,90,49.71
1007.80,850,92,49.22
1009.01,851,89,50.20
1010.24,852,89,50.20
1011.44,853,92,49.22
1012.66,854,92,49.22
1013.86,855,90,49.71
1015.10,856,92,49.22
1016.32,857,92,49.22
1017.55,858,89,50.20
1018.75,859,89,50.20
1019.99,860,88,50.68
1021.21,861,90,49.71
1022.42,862,90,49.71
1023.66,863,90,49.71
1024.89,864,90,49.71
1026.11,865,92,49.22
1027.34,866,89,50.20
1028.57,867,89,50.20
1029.78,868,92,49.22
1030.97,869,92,49.22
1032.20,870,88,50.68
1033.41,871,91,49.71
1034.64,872,89,50.20
1035.84,873,89,50.20
1037.03,874,91,49.71
1038.24,875,91,49.71
1039.46,876,88,50.68
1040.66,877,91,49.71
1041.89,878,92,49.22
1043.09,879,91,49.71
1044.31,880,91,49.71
1045.54,881,89,50.20
1046.74,882,89,50.20
1047.95,883,91,49.71
1049.16,884,89,50.20
1050.39,885,88,50.68
1051.61,886,89,50.20
1052.86,887,88,50.68
1054.08,888,91,49.71
1055.30,889,91,49.71
1056.50,890,89,50.20
1057.72,891,89,50.20
1058.95,892,89,50.20
1060.16,893,88,50.68
1061.38,894,88,50.68
1062.61,895,89,50.20
1063.81,896,90,49.71
1065.02,897,89,50.20
1066.22,898,88,50.68
1067.45,899,89,50.20
1068.68,900,89,50.20
