Tempo (s),Amostra,PWM,Temperatura (°C)
727.78,598,39,40.42
729.03,599,41,39.93
730.22,600,39,40.42
731.42,601,38,40.91
732.67,602,38,40.91
733.87,603,37,41.40
735.07,604,39,40.42
736.27,605,41,39.93
737.47,606,38,40.91
738.70,607,41,39.93
739.91,608,41,39.93
741.12,609,41,39.93
742.33,610,41,39.93
743.55,611,41,39.93
744.75,612,39,40.42
745.97,613,41,39.93
747.21,614,42,39.44
748.46,615,39,40.42
749.67,616,39,40.42
750.87,617,38,40.91
752.12,618,38,40.91
753.31,619,39,40.42
754.55,620,39,40.42
755.79,621,39,40.42
757.01,622,39,40.42
758.22,623,42,39.44
759.44,624,40,39.93
760.65,625,39,40.42
761.87,626,39,40.42
763.10,627,38,40.91
764.32,628,42,39.44
765.52,629,40,39.93
766.75,630,38,40.91
767.98,631,40,39.93
769.19,632,42,39.44
770.41,633,40,39.93
771.61,634,42,39.44
772.82,635,39,40.42
774.01,636,39,40.42
775.25,637,39,40.42
776.48,638,39,40.42
777.76,639,38,40.91
779.01,640,40,39.93
780.22,641,39,40.42
781.45,642,39,40.42
782.65,643,41,39.44
783.86,644,39,40.42
785.08,645,42,39.44
786.28,646,39,40.42
787.50,647,39,40.42
788.72,648,39,40.42
789.93,649,40,39.93
791.16,650,41,39.44
792.38,651,40,39.93
793.60,652,37,40.91
794.82,653,39,40.42
796.03,654,37,40.91
797.26,655,39,40.42
798.49,656,40,39.93
799.70,657,37,40.91
800.94,658,41,39.44
802.15,659,37,40.91
803.38,660,40,39.93
804.61,661,41,39.44
805.81,662,40,39.93
807.03,663,40,39.93
808.26,664,41,39.44
809.47,665,40,39.93
810.70,666,39,40.42
811.92,667,41,39.44
813.17,668,39,40.42
814.40,669,41,39.44
815.61,670,40,39.93
816.84,671,37,40.91
818.07,672,40,39.93
819.29,673,40,39.93
820.51,674,40,39.93
821.72,675,39,40.42
822.94,676,39,40.42
824.20,677,41,39.44
825.42,678,40,39.93
826.63,679,41,39.44
827.81,680,39,40.42
829.02,681,41,39.44
830.23,682,41,39.44
831.45,683,40,39.93
832.66,684,40,39.93
833.86,685,39,40.42
835.07,686,40,39.93
836.25,687,41,39.44
837.47,688,40,39.93
838.66,689,37,40.91
839.88,690,37,40.91
841.09,691,40,39.93
842.28,692,39,40.42
843.48,693,37,40.91
844.71,694,41,39.44
845.97,695,40,39.93
847.17,696,41,39.44
848.39,697,40,39.93
849.60,698,41,39.44
850.83,699,41,39.44
852.03,700,40,39.93
853.24,701,39,40.42
854.44,702,37,40.91
855.64,703,41,39.44
856.91,704,41,39.44
858.16,705,41,39.44
859.37,706,39,40.42
860.59,707,39,40.42
861.80,708,40,39.93
863.00,709,41,39.44
864.21,710,39,40.42
865.43,711,40,39.93
866.63,712,40,39.93
867.84,713,40,39.93
869.06,714,40,39.93
870.27,715,39,40.42
871.47,716,40,39.93
872.68,717,41,39.44
873.87,718,37,40.91
875.10,719,40,39.93
876.40,720,37,40.91
877.61,721,39,40.42
878.83,722,37,40.91
880.07,723,40,39.93
881.27,724,40,39.93
882.51,725,40,39.93
883.72,726,43,38.95
884.98,727,40,39.93
886.17,728,40,39.93
887.37,729,39,40.42
888.63,730,39,40.42
889.88,731,43,38.95
891.09,732,39,40.42
892.31,733,39,40.42
893.56,734,39,40.42
894.79,735,40,39.93
896.00,736,39,40.42
897.19,737,40,39.93
898.40,738,37,40.91
899.62,739,41,39.44
900.81,740,43,38.95
902.05,741,41,39.44
903.28,742,39,40.42
904.52,743,41,39.44
905.73,744,41,39.44
906.95,745,37,40.91
908.18,746,40,39.93
909.39,747,39,40.42
910.62,748,40,39.93
911.89,749,40,39.93
913.12,750,41,39.44
914.32,751,41,39.44
915.53,752,41,39.44
916.75,753,41,39.44
917.99,754,37,40.91
919.22,755,40,39.93
920.41,756,40,39.93
921.64,757,41,39.44
922.85,758,41,39.44
924.05,759,41,39.44
925.28,760,40,39.93
926.48,761,41,39.44
927.75,762,40,39.93
928.95,763,43,38.95
930.21,764,42,39.44
931.45,765,42,39.44
932.66,766,42,39.44
933.89,767,42,39.44
935.08,768,39,40.42
938.11,769,40,39.93
939.31,770,42,39.44
940.50,771,42,39.44
941.69,772,40,39.93
942.87,773,40,39.93
944.06,774,40,39.93
945.27,775,40,39.93
946.49,776,39,40.42
