Tempo (s),PWM,Temperatura (ºC)
342,127,13.68523949
343,127,13.68523949
344,127,13.68523949
345,127,13.68523949
346,127,13.68523949
347,127,13.68523949
348,127,13.68523949
349,127,13.68523949
350,127,13.68523949
351,127,13.68523949
352,127,13.68523949
353,127,13.19648094
354,127,13.68523949
355,127,13.68523949
356,127,13.19648094
358,127,13.19648094
359,127,13.68523949
360,127,13.19648094
361,127,13.68523949
362,127,13.68523949
363,127,13.68523949
364,127,13.68523949
365,127,13.68523949
366,127,14.17399804
367,127,14.17399804
368,127,13.68523949
369,127,13.68523949
370,127,13.68523949
371,127,13.19648094
372,127,13.19648094
373,127,13.19648094
374,127,13.68523949
375,127,13.68523949
376,127,14.17399804
377,127,13.68523949
379,127,14.17399804
380,127,14.17399804
381,127,14.17399804
382,127,14.17399804
383,127,14.17399804
384,127,14.17399804
385,127,14.17399804
386,127,13.68523949
387,127,13.68523949
388,127,13.68523949
389,127,13.68523949
390,127,14.17399804
391,127,13.68523949
392,127,14.17399804
393,127,14.17399804
394,127,14.6627566
395,127,14.17399804
396,127,14.17399804
397,127,14.17399804
398,127,14.17399804
400,127,14.17399804
401,127,14.6627566
402,127,14.17399804
403,127,14.17399804
404,127,13.68523949
405,127,14.17399804
406,127,13.68523949
407,127,14.17399804
408,127,14.17399804
409,127,13.68523949
410,127,15.15151515
411,127,15.15151515
412,127,14.17399804
413,127,14.17399804
414,127,13.68523949
415,127,14.17399804
416,127,13.68523949
417,127,13.68523949
418,127,14.17399804
420,127,14.17399804
421,127,14.17399804
422,127,13.68523949
423,127,13.68523949
424,127,14.17399804
425,127,14.6627566
426,127,14.6627566
427,127,14.6627566
428,127,14.6627566
429,127,14.6627566
430,127,14.6627566
431,127,14.6627566
432,127,14.6627566
433,127,14.6627566
434,127,14.6627566
435,127,14.6627566
436,127,14.6627566
437,127,14.6627566
438,127,14.17399804
439,127,14.6627566
441,127,14.6627566
442,127,14.6627566
443,127,15.15151515
444,127,14.6627566
445,127,14.6627566
446,127,14.6627566
447,127,14.6627566
448,127,14.6627566
449,127,14.17399804
450,127,14.17399804
451,127,14.6627566
452,127,14.6627566
453,127,14.17399804
454,127,14.17399804
455,127,14.17399804
456,127,14.17399804
457,127,14.6627566
458,127,14.17399804
459,127,14.6627566
